game,strategy,final_share,final_avg_fitness
Prisoner's Dilemma,Always Cooperate,0.05403488002427239,2.9423296163434878
Prisoner's Dilemma,Always Defect,0.011677222615044669,2.9423296163434878
Prisoner's Dilemma,Tit for Tat,0.0,2.9423296163434878
Prisoner's Dilemma,Tit for Two Tats,0.2394249810272883,2.9423296163434878
Prisoner's Dilemma,Random,0.013853014740498883,2.9423296163434878
Prisoner's Dilemma,Grudger,0.19434708900600092,2.9423296163434878
Prisoner's Dilemma,Pavlov,0.28617628819451874,2.9423296163434878
Prisoner's Dilemma,Adaptive TFT,0.20048652439237616,2.9423296163434878
Snowdrift Game,Always Cooperate,0.114259256307379,1.9625036844016388
Snowdrift Game,Always Defect,0.009183172616698862,1.9625036844016388
Snowdrift Game,Tit for Tat,0.0,1.9625036844016388
Snowdrift Game,Tit for Two Tats,0.35296709890197864,1.9625036844016388
Snowdrift Game,Random,0.014320628153107636,1.9625036844016388
Snowdrift Game,Grudger,0.07128464183597297,1.9625036844016388
Snowdrift Game,Pavlov,0.2847917126042401,1.9625036844016388
Snowdrift Game,Adaptive TFT,0.15319348958062307,1.9625036844016388
Stag Hunt,Always Cooperate,0.06296724683023733,2.9246155317597227
Stag Hunt,Always Defect,0.009585844433755392,2.9246155317597227
Stag Hunt,Tit for Tat,0.0,2.9246155317597227
Stag Hunt,Tit for Two Tats,0.35793435207734414,2.9246155317597227
Stag Hunt,Random,0.012468745552557375,2.9246155317597227
Stag Hunt,Grudger,0.054949928908022104,2.9246155317597227
Stag Hunt,Pavlov,0.30845324492377046,2.9246155317597227
Stag Hunt,Adaptive TFT,0.19364063727431316,2.9246155317597227
Matching Pennies,Always Cooperate,0.06309663135894157,-0.6538310770801915
Matching Pennies,Always Defect,0.07560207338109798,-0.6538310770801915
Matching Pennies,Tit for Tat,0.0,-0.6538310770801915
Matching Pennies,Tit for Two Tats,0.31924852654295743,-0.6538310770801915
Matching Pennies,Random,0.14448560410227818,-0.6538310770801915
Matching Pennies,Grudger,0.054897280140898445,-0.6538310770801915
Matching Pennies,Pavlov,0.22068313723879932,-0.6538310770801915
Matching Pennies,Adaptive TFT,0.12198674723502709,-0.6538310770801915
