game,strategy,final_share_mu0,final_share_mu001,delta_mu001_minus_mu0
Prisoner's Dilemma,Always Cooperate,0.11906828329901954,0.05403488002427239,-0.06503340327474716
Prisoner's Dilemma,Always Defect,1.5123967397361929e-41,0.011677222615044669,0.011677222615044669
Prisoner's Dilemma,Tit for Tat,0.14990425149003078,0.0,-0.14990425149003078
Prisoner's Dilemma,Tit for Two Tats,0.13268559229307855,0.2394249810272883,0.10673938873420974
Prisoner's Dilemma,Random,1.885381276190457e-26,0.013853014740498883,0.013853014740498883
Prisoner's Dilemma,Grudger,0.24325465728016316,0.19434708900600092,-0.04890756827416223
Prisoner's Dilemma,Pavlov,0.17070532394167573,0.28617628819451874,0.115470964252843
Prisoner's Dilemma,Adaptive TFT,0.18438189169603217,0.20048652439237616,0.01610463269634399
Snowdrift Game,Always Cooperate,0.17487315483031235,0.114259256307379,-0.06061389852293335
Snowdrift Game,Always Defect,1.3527140207537605e-78,0.009183172616698862,0.009183172616698862
Snowdrift Game,Tit for Tat,0.13361562755584777,0.0,-0.13361562755584777
Snowdrift Game,Tit for Two Tats,0.1587953859651687,0.35296709890197864,0.19417171293680993
Snowdrift Game,Random,1.5727124879100489e-21,0.014320628153107636,0.014320628153107636
Snowdrift Game,Grudger,0.20632793664010848,0.07128464183597297,-0.13504329480413552
Snowdrift Game,Pavlov,0.16319394750428134,0.2847917126042401,0.12159776509995873
Snowdrift Game,Adaptive TFT,0.16319394750428134,0.15319348958062307,-0.010000457923658279
Stag Hunt,Always Cooperate,0.1565858301005573,0.06296724683023733,-0.09361858327031997
Stag Hunt,Always Defect,1.5394941397493622e-76,0.009585844433755392,0.009585844433755392
Stag Hunt,Tit for Tat,0.17085313780045566,0.0,-0.17085313780045566
Stag Hunt,Tit for Two Tats,0.1618622867205087,0.35793435207734414,0.19607206535683544
Stag Hunt,Random,1.3963840991874743e-60,0.012468745552557375,0.012468745552557375
Stag Hunt,Grudger,0.17274313572908798,0.054949928908022104,-0.11779320682106587
Stag Hunt,Pavlov,0.16897780482469518,0.30845324492377046,0.13947544009907528
Stag Hunt,Adaptive TFT,0.16897780482469518,0.19364063727431316,0.024662832449617977
Matching Pennies,Always Cooperate,0.125,0.06309663135894157,-0.06190336864105843
Matching Pennies,Always Defect,0.125,0.07560207338109798,-0.04939792661890202
Matching Pennies,Tit for Tat,0.125,0.0,-0.125
Matching Pennies,Tit for Two Tats,0.125,0.31924852654295743,0.19424852654295743
Matching Pennies,Random,0.125,0.14448560410227818,0.019485604102278176
Matching Pennies,Grudger,0.125,0.054897280140898445,-0.07010271985910155
Matching Pennies,Pavlov,0.125,0.22068313723879932,0.09568313723879932
Matching Pennies,Adaptive TFT,0.125,0.12198674723502709,-0.0030132527649729124
